,mean_temp
max_dewpt_1,0.8845745672245375
mean_temp_2,0.8907430511549156
max_temp_2,0.8916479395056591
mean_dewpt_1,0.9015998854318259
min_dewpt_1,0.907594749626994
min_temp_1,0.9226443781064999
max_temp_1,0.9444705518934005
mean_temp_1,0.9460633690628159
max_dewpt,0.953893276887625
min_dewpt,0.9562751046035245
mean_dewpt,0.965158088434545
min_temp,0.9818467707127866
max_temp,0.9897549957959169
mean_temp,1.0
