date,mean_temp,max_temp,min_temp,mean_temp_1,mean_temp_2,mean_temp_3,mean_dewpt_1,mean_dewpt_2,mean_dewpt_3,mean_pressure_1,mean_pressure_2,mean_pressure_3,max_temp_1,max_temp_2,max_temp_3,min_temp_1,min_temp_2,min_temp_3,max_humidity_1,max_humidity_2,max_humidity_3,min_humidity_1,min_humidity_2,min_humidity_3,max_dewpt_1,max_dewpt_2,max_dewpt_3,min_dewpt_1,min_dewpt_2,min_dewpt_3,max_pressure_1,max_pressure_2,max_pressure_3,min_pressure_1,min_pressure_2,min_pressure_3,precip_probability_1,precip_probability_2,precip_probability_3,precip_intensity_1,precip_intensity_2,precip_intensity_3
2015-04-07,39.75875,46.54,34.13,36.96625,39.37208333333333,48.4025,26.59,37.78,42.04,1022.06,1015.96,1003.03,38.93,46.86,57.73,34.98,34.99,43.06,0.93,0.99,0.97,0.38,0.9,0.59,35.56,46.52,51.15,14.74,32.76,30.71,1027.11,1021.41,1010.16,1018.07,1006.52,997.0,0.84,0.8,0.83,0.019,0.006,0.0135
2015-04-08,36.96625,38.93,34.98,39.37208333333333,48.4025,43.39291666666667,37.78,42.04,29.25,1015.96,1003.03,1018.24,46.86,57.73,52.31,34.99,43.06,37.57,0.99,0.97,0.74,0.9,0.59,0.42,46.52,51.15,30.93,32.76,30.71,27.06,1021.41,1010.16,1022.66,1006.52,997.0,1010.2,0.8,0.83,0.0,0.006,0.0135,0.0
2015-04-09,39.37208333333333,46.86,34.99,48.4025,43.39291666666667,49.1225,42.04,29.25,33.17,1003.03,1018.24,1023.22,57.73,52.31,62.84,43.06,37.57,33.9,0.97,0.74,0.79,0.59,0.42,0.37,51.15,30.93,38.01,30.71,27.06,28.09,1010.16,1022.66,1025.22,997.0,1010.2,1021.99,0.83,0.0,0.0,0.0135,0.0,0.0
2015-04-10,48.4025,57.73,43.06,43.39291666666667,49.1225,52.78375,29.25,33.17,39.5,1018.24,1023.22,1016.67,52.31,62.84,66.87,37.57,33.9,40.98,0.74,0.79,0.83,0.42,0.37,0.42,30.93,38.01,56.95,27.06,28.09,32.15,1022.66,1025.22,1022.05,1010.2,1021.99,1009.01,0.0,0.0,0.6,0.0,0.0,0.0042
2015-04-11,43.39291666666667,52.31,37.57,49.1225,52.78375,51.0675,33.17,39.5,29.94,1023.22,1016.67,1021.96,62.84,66.87,62.5,33.9,40.98,37.74,0.79,0.83,0.84,0.37,0.42,0.23,38.01,56.95,38.51,28.09,32.15,20.49,1025.22,1022.05,1024.19,1021.99,1009.01,1019.81,0.0,0.6,0.0,0.0,0.0042,0.0
2015-04-12,49.1225,62.84,33.9,52.78375,51.0675,50.5375,39.5,29.94,25.51,1016.67,1021.96,1027.36,66.87,62.5,59.89,40.98,37.74,40.59,0.83,0.84,0.49,0.42,0.23,0.29,56.95,38.51,30.1,32.15,20.49,19.27,1022.05,1024.19,1029.75,1009.01,1019.81,1023.94,0.6,0.0,0.0,0.0042,0.0,0.0
2015-04-13,52.78375,66.87,40.98,51.0675,50.5375,49.99375,29.94,25.51,30.71,1021.96,1027.36,1025.16,62.5,59.89,61.67,37.74,40.59,39.96,0.84,0.49,0.71,0.23,0.29,0.32,38.51,30.1,42.4,20.49,19.27,24.81,1024.19,1029.75,1030.01,1019.81,1023.94,1018.85,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-14,51.0675,62.5,37.74,50.5375,49.99375,55.69416666666667,25.51,30.71,45.5,1027.36,1025.16,1015.82,59.89,61.67,66.96,40.59,39.96,46.38,0.49,0.71,0.91,0.29,0.32,0.46,30.1,42.4,51.08,19.27,24.81,39.94,1029.75,1030.01,1018.43,1023.94,1018.85,1013.82,0.0,0.0,0.64,0.0,0.0,0.0026
2015-04-15,50.5375,59.89,40.59,49.99375,55.69416666666667,54.8775,30.71,45.5,36.03,1025.16,1015.82,1017.07,61.67,66.96,65.25,39.96,46.38,42.66,0.71,0.91,0.81,0.32,0.46,0.29,42.4,51.08,45.2,24.81,39.94,29.37,1030.01,1018.43,1022.48,1018.85,1013.82,1014.11,0.0,0.64,0.0,0.0,0.0026,0.0
2015-04-16,49.99375,61.67,39.96,55.69416666666667,54.8775,47.81333333333334,45.5,36.03,28.04,1015.82,1017.07,1020.03,66.96,65.25,55.45,46.38,42.66,38.11,0.91,0.81,0.68,0.46,0.29,0.31,51.08,45.2,30.36,39.94,29.37,24.07,1018.43,1022.48,1025.61,1013.82,1014.11,1009.31,0.64,0.0,0.0,0.0026,0.0,0.0
2015-04-17,55.69416666666667,66.96,46.38,54.8775,47.81333333333334,48.33125,36.03,28.04,44.76,1017.07,1020.03,999.04,65.25,55.45,56.93,42.66,38.11,41.14,0.81,0.68,0.99,0.29,0.31,0.48,45.2,30.36,54.02,29.37,24.07,31.46,1022.48,1025.61,1008.57,1014.11,1009.31,994.68,0.0,0.0,0.93,0.0,0.0,0.0175
2015-04-18,54.8775,65.25,42.66,47.81333333333334,48.33125,45.72875,28.04,44.76,38.25,1020.03,999.04,1000.99,55.45,56.93,50.15,38.11,41.14,39.92,0.68,0.99,0.87,0.31,0.48,0.63,30.36,54.02,44.74,24.07,31.46,36.36,1025.61,1008.57,1003.31,1009.31,994.68,998.3,0.0,0.93,0.72,0.0,0.0175,0.005
2015-04-19,47.81333333333334,55.45,38.11,48.33125,45.72875,40.321250000000006,44.76,38.25,34.0,999.04,1000.99,1002.38,56.93,50.15,44.7,41.14,39.92,34.73,0.99,0.87,0.88,0.48,0.63,0.66,54.02,44.74,36.49,31.46,36.36,29.01,1008.57,1003.31,1006.4,994.68,998.3,1000.74,0.93,0.72,0.61,0.0175,0.005,0.0012
2015-04-20,48.33125,56.93,41.14,45.72875,40.321250000000006,34.01041666666668,38.25,34.0,24.54,1000.99,1002.38,1009.22,50.15,44.7,37.21,39.92,34.73,31.01,0.87,0.88,0.81,0.63,0.66,0.59,44.74,36.49,27.65,36.36,29.01,21.48,1003.31,1006.4,1013.44,998.3,1000.74,1005.69,0.72,0.61,0.0,0.005,0.0012,0.0
2015-04-21,45.72875,50.15,39.92,40.321250000000006,34.01041666666668,36.08208333333333,34.0,24.54,23.79,1002.38,1009.22,1015.38,44.7,37.21,43.23,34.73,31.01,30.79,0.88,0.81,0.76,0.66,0.59,0.47,36.49,27.65,25.7,29.01,21.48,21.71,1006.4,1013.44,1017.09,1000.74,1005.69,1013.59,0.61,0.0,0.0,0.0012,0.0,0.0
2015-04-22,40.321250000000006,44.7,34.73,34.01041666666668,36.08208333333333,40.92708333333332,24.54,23.79,26.62,1009.22,1015.38,1013.34,37.21,43.23,50.84,31.01,30.79,28.99,0.81,0.76,0.78,0.59,0.47,0.43,27.65,25.7,30.01,21.48,21.71,21.17,1013.44,1017.09,1016.88,1005.69,1013.59,1009.19,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-23,34.01041666666668,37.21,31.01,36.08208333333333,40.92708333333332,46.25916666666666,23.79,26.62,33.26,1015.38,1013.34,1009.8,43.23,50.84,53.64,30.79,28.99,39.52,0.76,0.78,0.72,0.47,0.43,0.5,25.7,30.01,35.54,21.71,21.17,29.58,1017.09,1016.88,1011.11,1013.59,1009.19,1008.79,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-24,36.08208333333333,43.23,30.79,40.92708333333332,46.25916666666666,47.55083333333334,26.62,33.26,36.88,1013.34,1009.8,1011.55,50.84,53.64,55.95,28.99,39.52,41.12,0.78,0.72,0.79,0.43,0.5,0.52,30.01,35.54,40.18,21.17,29.58,34.34,1016.88,1011.11,1015.62,1009.19,1008.79,1008.6,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-25,40.92708333333332,50.84,28.99,46.25916666666666,47.55083333333334,54.01375000000001,33.26,36.88,39.99,1009.8,1011.55,1014.73,53.64,55.95,65.35,39.52,41.12,42.36,0.72,0.79,0.79,0.5,0.52,0.44,35.54,40.18,43.94,29.58,34.34,36.12,1011.11,1015.62,1016.67,1008.79,1008.6,1011.71,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-26,46.25916666666666,53.64,39.52,47.55083333333334,54.01375000000001,57.2375,36.88,39.99,41.13,1011.55,1014.73,1009.11,55.95,65.35,67.61,41.12,42.36,45.03,0.79,0.79,0.74,0.52,0.44,0.42,40.18,43.94,43.95,34.34,36.12,37.11,1015.62,1016.67,1011.79,1008.6,1011.71,1006.7,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-27,47.55083333333334,55.95,41.12,54.01375000000001,57.2375,55.66875,39.99,41.13,41.26,1014.73,1009.11,1009.39,65.35,67.61,62.49,42.36,45.03,47.13,0.79,0.74,0.72,0.44,0.42,0.49,43.94,43.95,44.23,36.12,37.11,37.83,1016.67,1011.79,1013.58,1011.71,1006.7,1006.5,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-28,54.01375000000001,65.35,42.36,57.2375,55.66875,58.33833333333335,41.13,41.26,41.49,1009.11,1009.39,1015.31,67.61,62.49,67.43,45.03,47.13,48.75,0.74,0.72,0.74,0.42,0.49,0.4,43.95,44.23,44.51,37.11,37.83,36.36,1011.79,1013.58,1016.5,1006.7,1006.5,1013.89,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-29,57.2375,67.61,45.03,55.66875,58.33833333333335,61.03625,41.26,41.49,39.44,1009.39,1015.31,1015.87,62.49,67.43,71.38,47.13,48.75,50.03,0.72,0.74,0.64,0.49,0.4,0.3,44.23,44.51,42.72,37.83,36.36,37.21,1013.58,1016.5,1017.49,1006.5,1013.89,1014.29,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-30,55.66875,62.49,47.13,58.33833333333335,61.03625,62.805,41.49,39.44,42.6,1015.31,1015.87,1016.22,67.43,71.38,75.59,48.75,50.03,49.11,0.74,0.64,0.74,0.4,0.3,0.33,44.51,42.72,46.13,36.36,37.21,39.35,1016.5,1017.49,1017.55,1013.89,1014.29,1015.1,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,58.33833333333335,67.43,48.75,61.03625,62.805,61.87625000000001,39.44,42.6,48.21,1015.87,1016.22,1017.52,71.38,75.59,69.58,50.03,49.11,52.3,0.64,0.74,0.8,0.3,0.33,0.46,42.72,46.13,56.14,37.21,39.35,41.68,1017.49,1017.55,1021.19,1014.29,1015.1,1016.6,0.0,0.0,0.54,0.0,0.0,0.0004
2015-05-02,61.03625,71.38,50.03,62.805,61.87625000000001,56.50958333333333,42.6,48.21,41.64,1016.22,1017.52,1024.95,75.59,69.58,62.8,49.11,52.3,47.81,0.74,0.8,0.77,0.33,0.46,0.39,46.13,56.14,50.84,39.35,41.68,35.32,1017.55,1021.19,1026.87,1015.1,1016.6,1021.62,0.0,0.54,0.0,0.0,0.0004,0.0
2015-05-03,62.805,75.59,49.11,61.87625000000001,56.50958333333333,59.56708333333333,48.21,41.64,39.48,1017.52,1024.95,1024.73,69.58,62.8,72.14,52.3,47.81,46.37,0.8,0.77,0.75,0.46,0.39,0.29,56.14,50.84,45.52,41.68,35.32,35.85,1021.19,1026.87,1026.43,1016.6,1021.62,1022.22,0.54,0.0,0.0,0.0004,0.0,0.0
2015-05-04,61.87625000000001,69.58,52.3,56.50958333333333,59.56708333333333,62.81000000000001,41.64,39.48,46.43,1024.95,1024.73,1020.93,62.8,72.14,75.39,47.81,46.37,49.44,0.77,0.75,0.69,0.39,0.29,0.44,50.84,45.52,54.06,35.32,35.85,38.02,1026.87,1026.43,1022.79,1021.62,1022.22,1017.85,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-05,56.50958333333333,62.8,47.81,59.56708333333333,62.81000000000001,67.29666666666667,39.48,46.43,53.25,1024.73,1020.93,1017.23,72.14,75.39,79.53,46.37,49.44,54.75,0.75,0.69,0.79,0.29,0.44,0.47,45.52,54.06,57.64,35.85,38.02,48.37,1026.43,1022.79,1018.55,1022.22,1017.85,1014.99,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-06,59.56708333333333,72.14,46.37,62.81000000000001,67.29666666666667,70.31250000000001,46.43,53.25,57.24,1020.93,1017.23,1017.08,75.39,79.53,81.26,49.44,54.75,58.11,0.69,0.79,0.8,0.44,0.47,0.47,54.06,57.64,60.71,38.02,48.37,51.3,1022.79,1018.55,1018.81,1017.85,1014.99,1015.97,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-07,62.81000000000001,75.39,49.44,67.29666666666667,70.31250000000001,68.60000000000001,53.25,57.24,62.54,1017.23,1017.08,1017.75,79.53,81.26,78.92,54.75,58.11,62.88,0.79,0.8,0.9,0.47,0.47,0.65,57.64,60.71,67.06,48.37,51.3,58.52,1018.55,1018.81,1018.96,1014.99,1015.97,1016.23,0.0,0.0,0.66,0.0,0.0,0.006
2015-05-08,67.29666666666667,79.53,54.75,70.31250000000001,68.60000000000001,61.35625,57.24,62.54,57.59,1017.08,1017.75,1014.32,81.26,78.92,68.41,58.11,62.88,58.13,0.8,0.9,0.94,0.47,0.65,0.76,60.71,67.06,61.03,51.3,58.52,55.72,1018.81,1018.96,1017.73,1015.97,1016.23,1008.15,0.0,0.66,0.84,0.0,0.006,0.0111
2015-05-09,70.31250000000001,81.26,58.11,68.60000000000001,61.35625,58.17666666666668,62.54,57.59,49.13,1017.75,1014.32,1010.64,78.92,68.41,62.32,62.88,58.13,52.79,0.9,0.94,0.94,0.65,0.76,0.52,67.06,61.03,57.5,58.52,55.72,42.24,1018.96,1017.73,1015.95,1016.23,1008.15,1007.11,0.66,0.84,0.69,0.006,0.0111,0.0004
2015-05-10,68.60000000000001,78.92,62.88,61.35625,58.17666666666668,50.53,57.59,49.13,37.92,1014.32,1010.64,1023.94,68.41,62.32,58.21,58.13,52.79,44.54,0.94,0.94,0.87,0.76,0.52,0.42,61.03,57.5,45.22,55.72,42.24,28.97,1017.73,1015.95,1029.31,1008.15,1007.11,1016.14,0.84,0.69,0.0,0.0111,0.0004,0.0
2015-05-11,61.35625,68.41,58.13,58.17666666666668,50.53,53.4675,49.13,37.92,31.75,1010.64,1023.94,1029.65,62.32,58.21,64.18,52.79,44.54,41.88,0.94,0.87,0.68,0.52,0.42,0.29,57.5,45.22,35.17,42.24,28.97,28.31,1015.95,1029.31,1032.42,1007.11,1016.14,1025.56,0.69,0.0,0.0,0.0004,0.0,0.0
2015-05-12,58.17666666666668,62.32,52.79,50.53,53.4675,53.61708333333333,37.92,31.75,40.04,1023.94,1029.65,1021.0,58.21,64.18,60.7,44.54,41.88,47.46,0.87,0.68,0.78,0.42,0.29,0.48,45.22,35.17,49.24,28.97,28.31,32.41,1029.31,1032.42,1025.16,1016.14,1025.56,1016.89,0.0,0.0,0.15,0.0,0.0,0.0001
2015-05-13,50.53,58.21,44.54,53.4675,53.61708333333333,63.32375000000001,31.75,40.04,53.19,1029.65,1021.0,1017.72,64.18,60.7,76.05,41.88,47.46,54.37,0.68,0.78,0.87,0.29,0.48,0.52,35.17,49.24,57.7,28.31,32.41,49.44,1032.42,1025.16,1020.66,1025.56,1016.89,1016.2,0.0,0.15,0.0,0.0,0.0001,0.0
2015-05-14,53.4675,64.18,41.88,53.61708333333333,63.32375000000001,64.42916666666666,40.04,53.19,52.32,1021.0,1017.72,1021.04,60.7,76.05,73.77,47.46,54.37,55.48,0.78,0.87,0.83,0.48,0.52,0.51,49.24,57.7,55.29,32.41,49.44,49.24,1025.16,1020.66,1022.61,1016.89,1016.2,1019.2,0.15,0.0,0.0,0.0001,0.0,0.0
2015-05-15,53.61708333333333,60.7,47.46,63.32375000000001,64.42916666666666,68.89583333333333,53.19,52.32,58.96,1017.72,1021.04,1015.49,76.05,73.77,80.98,54.37,55.48,59.38,0.87,0.83,0.81,0.52,0.51,0.57,57.7,55.29,67.71,49.44,49.24,52.26,1020.66,1022.61,1019.33,1016.2,1019.2,1012.29,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-16,63.32375000000001,76.05,54.37,64.42916666666666,68.89583333333333,58.97249999999999,52.32,58.96,47.17,1021.04,1015.49,1013.65,73.77,80.98,67.04,55.48,59.38,47.13,0.83,0.81,0.83,0.51,0.57,0.53,55.29,67.71,60.58,49.24,52.26,33.45,1022.61,1019.33,1017.3,1019.2,1012.29,1010.83,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-17,64.42916666666666,73.77,55.48,68.89583333333333,58.97249999999999,49.29833333333333,58.96,47.17,30.29,1015.49,1013.65,1018.24,80.98,67.04,60.95,59.38,47.13,39.42,0.81,0.83,0.76,0.57,0.53,0.3,67.71,60.58,33.41,52.26,33.45,24.2,1019.33,1017.3,1020.09,1012.29,1010.83,1016.61,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-18,68.89583333333333,80.98,59.38,58.97249999999999,49.29833333333333,56.00875,47.17,30.29,33.13,1013.65,1018.24,1013.3,67.04,60.95,66.19,47.13,39.42,46.81,0.83,0.76,0.56,0.53,0.3,0.32,60.58,33.41,39.29,33.45,24.2,26.19,1017.3,1020.09,1016.54,1010.83,1016.61,1010.1,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-19,58.97249999999999,67.04,47.13,49.29833333333333,56.00875,51.37791666666667,30.29,33.13,32.37,1018.24,1013.3,1017.91,60.95,66.19,57.91,39.42,46.81,42.74,0.76,0.56,0.73,0.3,0.32,0.32,33.41,39.29,39.55,24.2,26.19,25.33,1020.09,1016.54,1026.12,1016.61,1010.1,1010.83,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-20,49.29833333333333,60.95,39.42,56.00875,51.37791666666667,51.90208333333334,33.13,32.37,31.52,1013.3,1017.91,1027.26,66.19,57.91,65.7,46.81,42.74,35.07,0.56,0.73,0.74,0.32,0.32,0.3,39.29,39.55,36.49,26.19,25.33,27.18,1016.54,1026.12,1030.3,1010.1,1010.83,1023.94,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-21,56.00875,66.19,46.81,51.37791666666667,51.90208333333334,65.36333333333332,32.37,31.52,41.57,1017.91,1027.26,1022.75,57.91,65.7,78.61,42.74,35.07,47.99,0.73,0.74,0.61,0.32,0.3,0.33,39.55,36.49,48.42,25.33,27.18,32.71,1026.12,1030.3,1025.08,1010.83,1023.94,1020.09,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-22,51.37791666666667,57.91,42.74,51.90208333333334,65.36333333333332,67.98333333333333,31.52,41.57,55.74,1027.26,1022.75,1017.25,65.7,78.61,76.02,35.07,47.99,60.45,0.74,0.61,0.81,0.3,0.33,0.52,36.49,48.42,61.59,27.18,32.71,48.71,1030.3,1025.08,1020.56,1023.94,1020.09,1013.43,0.0,0.0,0.42,0.0,0.0,0.0007
2015-05-23,51.90208333333334,65.7,35.07,65.36333333333332,67.98333333333333,72.955,41.57,55.74,61.9,1022.75,1017.25,1016.35,78.61,76.02,81.47,47.99,60.45,63.65,0.61,0.81,0.81,0.33,0.52,0.57,48.42,61.59,65.68,32.71,48.71,57.57,1025.08,1020.56,1018.38,1020.09,1013.43,1014.61,0.0,0.42,0.0,0.0,0.0007,0.0
2015-05-24,65.36333333333332,78.61,47.99,67.98333333333333,72.955,70.05333333333333,55.74,61.9,60.79,1017.25,1016.35,1014.11,76.02,81.47,78.88,60.45,63.65,64.11,0.81,0.81,0.88,0.52,0.57,0.53,61.59,65.68,64.24,48.71,57.57,57.31,1020.56,1018.38,1015.23,1013.43,1014.61,1013.06,0.42,0.0,0.0,0.0007,0.0,0.0
